Player Name,Power,Kill Points,T4 Kills,T4 Kill Points,T5 Kills,T5 Kill Points,Deaths
Unpaidintern,"148,090,714","14,158,137,363","252,448,880","2,524,488,800","579,682,360","11,593,647,200","57,045,420"
Wreckingkru,"99,980,012","2,263,135,302","57,626,719","576,267,190","83,759,182","1,675,183,640","20,594,363"
AnHayHat,"736,584","2,986,670,546","118,532,844","1,185,328,440","87,034,381","1,740,687,620","19,941,982"
Pumpknfap,"90,833,739","1,745,906,991","54,850,350","548,503,500","57,306,982","1,146,139,640","18,091,363"
SpookNL,"89,809,318","6,377,105,071","266,049,989","2,660,499,890","182,156,738","3,643,134,760","43,336,013"
Echofap,"89,412,102","3,835,635,118","137,434,405","1,374,344,050","120,224,946","2,404,498,920","24,607,561"
Eltrasco,"87,940,713","2,719,187,152","101,036,428","1,010,364,280","83,553,085","1,671,061,700","20,332,635"
Ovais1oo,"87,582,693","5,007,238,674","209,769,240","2,097,692,400","142,934,041","2,858,680,820","26,585,704"
UnpaidFarm,"86,968,631","7,730,782,259","281,542,959","2,815,429,590","240,041,583","4,800,831,660","35,073,653"
